id,lccs_class,SOC_stock,lc_full,lc_group
2078,50,103.575149536133,"Tree cover (broadleaf, evergreen)",trees
2079,50,102.602821350098,"Tree cover (broadleaf, evergreen)",trees
2080,50,112.038139343262,"Tree cover (broadleaf, evergreen)",trees
2081,50,118.250907897949,"Tree cover (broadleaf, evergreen)",trees
2082,50,124.144218444824,"Tree cover (broadleaf, evergreen)",trees
2083,50,121.188743591309,"Tree cover (broadleaf, evergreen)",trees
2084,130,107.700477600098,Grassland,grass
2085,50,102.659355163574,"Tree cover (broadleaf, evergreen)",trees
2086,120,93.6679534912109,Shrubland,shrub
2110,130,82.9303512573242,Grassland,grass
2111,130,106.25902557373,Grassland,grass
2112,130,105.283531188965,Grassland,grass
2113,130,96.7814025878906,Grassland,grass
2114,130,101.861312866211,Grassland,grass
2115,130,102.640464782715,Grassland,grass
2116,130,95.0845947265625,Grassland,grass
2117,130,94.4269332885742,Grassland,grass
2118,130,97.5185317993164,Grassland,grass
2119,130,93.2612838745117,Grassland,grass
2120,130,97.2301635742188,Grassland,grass
2121,50,109.249824523926,"Tree cover (broadleaf, evergreen)",trees
2122,130,112.838638305664,Grassland,grass
2123,130,61.2445487976074,Grassland,grass
2124,210,51.8485870361328,Water,other
2125,50,93.5474243164063,"Tree cover (broadleaf, evergreen)",trees
2126,50,106.276626586914,"Tree cover (broadleaf, evergreen)",trees
2127,50,97.4186401367188,"Tree cover (broadleaf, evergreen)",trees
2128,80,94.0812454223633,"Tree cover (needle, deciduous)",trees
2129,80,94.4246292114258,"Tree cover (needle, deciduous)",trees
2130,50,95.6255569458008,"Tree cover (broadleaf, evergreen)",trees
2131,130,97.3061370849609,Grassland,grass
2132,130,98.8809127807617,Grassland,grass
2133,50,101.092086791992,"Tree cover (broadleaf, evergreen)",trees
2134,50,103.86368560791,"Tree cover (broadleaf, evergreen)",trees
2135,50,102.058387756348,"Tree cover (broadleaf, evergreen)",trees
2136,50,109.786552429199,"Tree cover (broadleaf, evergreen)",trees
2137,50,109.729339599609,"Tree cover (broadleaf, evergreen)",trees
2138,50,110.685752868652,"Tree cover (broadleaf, evergreen)",trees
2139,50,117.909812927246,"Tree cover (broadleaf, evergreen)",trees
2140,50,119.658966064453,"Tree cover (broadleaf, evergreen)",trees
2141,130,106.753959655762,Grassland,grass
2142,130,105.615562438965,Grassland,grass
2143,130,102.982704162598,Grassland,grass
2144,120,85.1304244995117,Shrubland,shrub
2167,130,108.549453735352,Grassland,grass
2168,50,107.164115905762,"Tree cover (broadleaf, evergreen)",trees
2169,50,115.740173339844,"Tree cover (broadleaf, evergreen)",trees
2170,130,101.691520690918,Grassland,grass
2171,130,100.435539245605,Grassland,grass
2172,130,99.7497177124023,Grassland,grass
2173,130,95.0908889770508,Grassland,grass
2174,130,95.6058120727539,Grassland,grass
2175,130,93.7061614990234,Grassland,grass
2176,130,91.4252624511719,Grassland,grass
2177,130,94.7104873657227,Grassland,grass
2178,130,92.5359649658203,Grassland,grass
2179,130,104.530921936035,Grassland,grass
2180,50,106.081993103027,"Tree cover (broadleaf, evergreen)",trees
2181,130,92.7653732299805,Grassland,grass
2182,130,92.3537063598633,Grassland,grass
2183,210,55.8901977539063,Water,other
2184,50,95.9248275756836,"Tree cover (broadleaf, evergreen)",trees
2185,50,94.9051055908203,"Tree cover (broadleaf, evergreen)",trees
2186,80,105.414031982422,"Tree cover (needle, deciduous)",trees
2187,50,97.7120819091797,"Tree cover (broadleaf, evergreen)",trees
2188,50,97.5064163208008,"Tree cover (broadleaf, evergreen)",trees
